category_min_id,week_num,cv_cnt
167,44,9
167,45,19
168,1,75
168,2,120
168,3,83
168,4,92
168,5,80
168,6,93
168,7,69
168,8,86
168,9,117
168,10,138
168,11,100
168,12,73
168,13,70
168,14,72
168,15,67
168,16,96
168,17,65
168,18,60
168,19,95
168,20,98
168,21,87
168,22,92
168,23,87
168,24,60
168,25,87
168,26,63
168,27,82
168,28,52
168,29,80
168,30,67
168,31,54
168,32,52
168,33,52
168,34,91
168,35,91
168,36,68
168,37,70
168,38,71
168,39,103
168,40,143
168,41,95
168,42,99
168,43,58
168,44,48
168,45,108
169,1,75
169,2,84
169,3,76
169,4,64
169,5,78
169,6,88
169,7,75
169,8,74
169,9,90
169,10,88
169,11,79
169,12,76
169,13,114
169,14,101
169,15,82
169,16,88
169,17,74
169,18,60
169,19,102
169,20,95
169,21,87
169,22,81
169,23,100
169,24,41
169,25,79
169,26,74
169,27,83
169,28,72
169,29,75
169,30,84
169,31,53
169,32,47
169,33,74
169,34,69
169,35,80
169,36,72
169,37,63
169,38,59
169,39,67
169,40,64
169,41,58
169,42,76
169,43,53
169,44,56
169,45,61
170,1,69
170,2,105
170,3,49
170,4,99
170,5,98
170,6,92
170,7,85
170,8,95
170,9,136
170,10,99
170,11,96
170,12,93
170,13,115
170,14,161
170,15,131
170,16,108
170,17,105
170,18,85
170,19,106
170,20,145
170,21,147
170,22,139
170,23,137
170,24,153
170,25,136
170,26,121
170,27,134
170,28,139
170,29,136
170,30,115
170,31,144
170,32,135
170,33,143
170,34,157
170,35,177
170,36,182
170,37,131
170,38,133
170,39,152
170,40,140
170,41,147
170,42,131
170,43,119
170,44,103
170,45,122
171,1,223
171,2,315
171,3,310
171,4,332
171,5,473
171,6,273
171,7,241
171,8,239
171,9,825
171,10,387
171,11,232
171,12,183
171,13,197
171,14,450
171,15,207
171,16,119
171,17,184
171,18,171
171,19,287
171,20,320
171,21,305
171,22,309
171,23,388
171,24,269
171,25,248
171,26,248
171,27,262
171,28,174
171,29,146
171,30,116
171,31,130
171,32,123
171,33,146
171,34,142
171,35,109
171,36,71
171,37,78
171,38,69
171,39,109
171,40,65
171,41,62
171,42,52
171,43,54
171,44,36
171,45,36
172,1,69
172,2,86
172,3,85
172,4,81
172,5,84
172,6,76
172,7,69
172,8,83
172,9,95
172,10,88
172,11,99
172,12,86
172,13,104
172,14,118
172,15,95
172,16,108
172,17,108
172,18,85
172,19,118
172,20,122
172,21,122
172,22,100
172,23,123
172,24,104
172,25,97
172,26,102
172,27,122
172,28,96
172,29,115
172,30,124
172,31,116
172,32,91
172,33,106
172,34,108
172,35,113
172,36,106
172,37,117
172,38,111
172,39,131
172,40,115
172,41,119
172,42,137
172,43,92
172,44,83
172,45,87
173,1,24
173,2,44
173,3,34
173,4,36
173,5,38
173,6,29
173,7,49
173,8,44
173,9,43
173,10,30
173,11,37
173,12,33
173,13,48
173,14,40
173,15,51
173,16,40
173,17,36
173,18,19
173,19,42
173,20,53
173,21,65
173,22,34
173,23,46
173,24,43
173,25,35
173,26,48
173,27,49
173,28,61
173,29,59
173,30,60
173,31,48
173,32,32
173,33,49
173,34,58
173,35,59
173,36,66
173,37,68
173,38,51
173,39,49
173,40,64
173,41,55
173,42,63
173,43,36
173,44,40
173,45,57
174,1,228
174,2,298
174,3,317
174,4,279
174,5,305
174,6,279
174,7,333
174,8,253
174,9,261
174,10,257
174,11,248
174,12,249
174,13,219
174,14,303
174,15,267
174,16,216
174,17,245
174,18,183
174,19,240
174,20,242
174,21,185
174,22,201
174,23,197
174,24,167
174,25,148
174,26,168
174,27,153
174,28,187
174,29,205
174,30,170
174,31,146
174,32,122
174,33,145
174,34,159
174,35,148
174,36,177
174,37,158
174,38,146
174,39,157
174,40,175
174,41,189
174,42,128
174,43,164
174,44,129
174,45,135
175,1,1440
175,2,2076
175,3,2147
175,4,2213
175,5,2296
175,6,2225
175,7,2228
175,8,2308
175,9,2306
175,10,2348
175,11,2064
175,12,1942
175,13,2084
175,14,2399
175,15,2220
175,16,2180
175,17,2038
175,18,1336
175,19,2262
175,20,2191
175,21,2209
175,22,2398
175,23,2287
175,24,2041
175,25,1956
175,26,1751
175,27,1928
175,28,1700
175,29,1600
175,30,1689
175,31,1852
175,32,1556
175,33,1580
175,34,1786
175,35,2030
175,36,2268
175,37,1967
175,38,1844
175,39,1791
175,40,1943
175,41,1770
175,42,1701
175,43,1568
175,44,1500
175,45,1572
176,1,1
176,3,3
176,4,2
176,5,5
176,6,7
176,7,4
176,8,3
176,9,7
176,10,4
176,11,2
176,12,2
176,13,1
176,14,1
176,15,3
176,18,1
176,19,2
176,20,1
176,21,2
176,22,1
176,23,1
176,24,1
176,25,2
176,26,4
176,28,1
176,29,1
176,30,2
176,31,4
176,33,1
176,34,1
176,35,2
176,36,2
176,37,2
176,38,3
176,39,2
176,40,3
176,41,2
176,42,4
176,43,1
176,45,2
177,20,2
177,35,3
177,43,1
178,1,169
178,2,185
178,3,136
178,4,157
178,5,158
178,6,144
178,7,148
178,8,144
178,9,180
178,10,155
178,11,129
178,12,146
178,13,136
178,14,150
178,15,151
178,16,160
178,17,142
178,18,114
178,19,159
178,20,157
178,21,134
178,22,139
178,23,131
178,24,126
178,25,156
178,26,135
178,27,147
178,28,123
178,29,118
178,30,111
178,31,141
178,32,93
178,33,123
178,34,162
178,35,188
178,36,158
178,37,155
178,38,171
178,39,154
178,40,141
178,41,153
178,42,136
178,43,134
178,44,132
178,45,126
179,1,3
179,2,13
179,3,14
179,4,11
179,5,16
179,6,11
179,7,18
179,8,10
179,9,20
179,10,16
179,11,8
179,12,6
179,13,12
179,14,16
179,15,18
179,16,19
179,17,13
179,18,11
179,19,14
179,20,19
179,21,13
179,22,7
179,23,11
179,24,8
179,25,14
