category_min_id,week_num,region,media_cnt
7,8,Tokyo,22
7,9,Niigata,56
7,9,Tokyo,19
7,10,Niigata,54
7,10,Tokyo,22
7,11,Niigata,48
7,11,Tokyo,25
7,12,Niigata,57
7,12,Tokyo,29
7,13,Niigata,47
7,13,Tokyo,25
7,14,Niigata,41
7,14,Tokyo,27
7,15,Niigata,45
7,15,Tokyo,25
7,16,Niigata,42
7,16,Tokyo,25
7,17,Niigata,48
7,17,Tokyo,30
7,18,Niigata,44
7,18,Tokyo,25
7,19,Niigata,49
7,19,Tokyo,21
7,20,Niigata,44
7,20,Tokyo,27
7,21,Niigata,48
7,21,Tokyo,26
7,22,Niigata,42
7,22,Tokyo,26
7,23,Niigata,55
7,23,Tokyo,29
7,24,Niigata,50
7,24,Tokyo,29
7,25,Niigata,46
7,25,Tokyo,22
7,26,Niigata,46
7,26,Tokyo,24
7,27,Niigata,48
7,27,Tokyo,24
7,28,Niigata,47
7,28,Tokyo,22
7,29,Niigata,45
7,29,Tokyo,26
7,30,Niigata,45
7,30,Tokyo,28
7,31,Niigata,52
7,31,Tokyo,29
7,32,Niigata,46
7,32,Tokyo,28
7,33,Niigata,47
7,33,Tokyo,26
7,34,Niigata,46
7,34,Tokyo,27
7,35,Niigata,38
7,35,Tokyo,26
7,36,Niigata,51
7,36,Tokyo,24
7,37,Niigata,40
7,37,Tokyo,22
7,38,Niigata,36
7,38,Tokyo,22
7,39,Niigata,38
7,39,Tokyo,22
7,40,Niigata,34
7,40,Tokyo,23
7,41,Niigata,36
7,41,Tokyo,28
7,42,Niigata,31
7,42,Tokyo,22
7,43,Niigata,36
7,43,Tokyo,22
7,44,Niigata,38
7,44,Tokyo,25
7,45,Niigata,45
7,45,Tokyo,28
7,46,Niigata,32
7,46,Tokyo,27
8,1,Niigata,253
8,1,Tokyo,404
8,2,Niigata,254
8,2,Tokyo,414
8,3,Niigata,248
8,3,Tokyo,381
8,4,Niigata,245
8,4,Tokyo,398
8,5,Niigata,259
8,5,Tokyo,425
8,6,Niigata,259
8,6,Tokyo,414
8,7,Niigata,231
8,7,Tokyo,391
8,8,Niigata,217
8,8,Tokyo,383
8,9,Niigata,231
8,9,Tokyo,391
8,10,Niigata,227
8,10,Tokyo,389
8,11,Niigata,211
8,11,Tokyo,384
8,12,Niigata,257
8,12,Tokyo,472
8,13,Niigata,211
8,13,Tokyo,357
8,14,Niigata,198
8,14,Tokyo,355
8,15,Niigata,207
8,15,Tokyo,353
8,16,Niigata,212
8,16,Tokyo,362
8,17,Niigata,244
8,17,Tokyo,397
8,18,Niigata,212
8,18,Tokyo,345
8,19,Niigata,210
8,19,Tokyo,371
8,20,Niigata,202
8,20,Tokyo,361
8,21,Niigata,207
8,21,Tokyo,351
8,22,Niigata,193
8,22,Tokyo,331
8,23,Niigata,224
8,23,Tokyo,365
8,24,Niigata,177
8,24,Tokyo,335
8,25,Niigata,203
8,25,Tokyo,339
8,26,Niigata,203
8,26,Tokyo,329
8,27,Niigata,208
8,27,Tokyo,338
8,28,Niigata,181
8,28,Tokyo,350
8,29,Niigata,181
8,29,Tokyo,322
8,30,Niigata,197
8,30,Tokyo,327
8,31,Niigata,199
